"query","search interest","increase percent"
"노래",100,"-2%"
"먹방",39,"-7%"
"노래 모음",31,"-5%"
"뉴스",26,"-20%"
"asmr",21,"2%"
"영화",19,"-9%"
"브이 로그",17,"-10%"
"노래방",16,"-20%"
"플레이 리스트",13,"5%"
"야구",12,"20%"
"리니지",10,"20%"
"메이플",10,"10%"
"주식",8,"50%"
"플리",8,"40%"
"lck",8,"10%"
"손흥 민",7,"30%"
"매 불쇼",7,"10%"
"파워 볼",7,"-50%"
"뽀로로",7,"-8%"
"한화",6,"80%"
"축구",6,"-20%"
"흔한 남매",6,"-20%"
"해외 선물",6,"-60%"
"침착 맨",6,"-5%"
"타로",6,"-20%"
"아이브",6,"-20%"
"뉴스 공장",5,"-2%"
"발 로란트",5,"-10%"
"비트 코인",5,"3%"
"라이벌",5,"170%"
"아이유",5,"-20%"
"보다",5,"30%"
"감 스트",5,"-30%"
"이란",5,"250%"
"런닝 맨",4,"-30%"
"리니지 클래식",4,"Breakout"
"아이온 2",4,"Breakout"
"t1",4,"20%"
"돌비",4,"-2%"
"나는 솔로",4,"-5%"
"자장가",4,"-2%"
"탑",4,"-10%"
"성시경",4,"10%"
"무한 도전",4,"-30%"
"리플",3,"-20%"
"bts",3,"80%"
"핑계 고",3,"20%"
"겸손 은 힘들다 뉴스 공장",3,"0%"
"임영웅",3,"-40%"
"케이",3,"-10%"
